"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",9.33210945404742,2.14326317487133,4.35415937877422,1.75450503206257,5.31894140142574
"asc_withdraw",0,NA,NA,NA,NA
"b_expected_los",0.169013800335871,0.34776685817892,0.485997432938006,0.183411331439245,0.921501408934792
"b_clinical_situation",1.63174758304927,0.66484048624858,2.45434448833967,0.678866959257755,2.40363382073176
"b_age",-1.35312386187094,0.248925110369957,-5.43586727694887,0.237098346806199,-5.70701516943498
"b_frailty",-1.42024165286488,0.379759380173254,-3.7398461420938,0.328344131956228,-4.32546683384678
"b_life_expectancy",0.215088093881441,0.259985352982897,0.827308505704901,0.200439931919102,1.07308005855965
"b_suffering",-1.79553291916025,0.606578147424161,-2.96010155787015,0.555663944106332,-3.23132882420144
"b_disability_cardiovascular",-0.390132913610624,0.207302356721829,-1.88195117402418,0.161622860575825,-2.41384734944469
"b_disability_pulmonary",-1.06836248750354,0.324176215729842,-3.2956226757668,0.214911176350297,-4.97118160929028
"b_disability_renal",-0.546350550974121,0.326731811883366,-1.67216821595919,0.247810992135546,-2.20470668498548
"b_disability_neurological",-1.37939275966193,0.426438658834318,-3.23468037216076,0.542419508867655,-2.54303677709071
"b_disability_gastrointestinal",-0.828000257471994,0.478731229200329,-1.72957226720948,0.493510867064716,-1.67777512660813
"b_family_values",-4.12771068668099,0.759825564006819,-5.43244513242509,0.849793486331522,-4.85731033842107
