"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",3.15996878597168,0.645853197742468,4.8927044056097,0.407694176886913,7.75083129737269
"asc_withdraw",0,NA,NA,NA,NA
"b_expected_los",0,NA,NA,NA,NA
"b_clinical_situation",0,NA,NA,NA,NA
"b_age",-1.14277824188152,0.144297408918777,-7.91960334176742,0.178948117492523,-6.38608697255098
"b_frailty",-0.207108698017697,0.14968912193985,-1.3835921764637,0.0786404451447291,-2.63361553506642
"b_life_expectancy",0.514975339814889,0.177027902607444,2.90900661550985,0.154022500398454,3.34350720500352
"b_suffering",0,NA,NA,NA,NA
"b_disability_cardiovascular",-0.292349579651008,0.134460204327913,-2.17424613559298,0.0859661869560848,-3.40075080683004
"b_disability_pulmonary",-0.319623103904504,0.173170827373419,-1.8457098620617,0.131836341663978,-2.42439300021804
"b_disability_renal",0,NA,NA,NA,NA
"b_disability_neurological",0,NA,NA,NA,NA
"b_disability_gastrointestinal",0,NA,NA,NA,NA
"b_family_values",-1.92268865417477,0.262155043934767,-7.3341661686784,0.307878880496522,-6.24495142724311
