"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",9.08356209162423,1.95723589367921,4.64101548564437,1.67787359513501,5.41373445411025
"asc_withdraw",0,NA,NA,NA,NA
"asc_timelimited",9.82963202317905,1.95431381454043,5.02971014687863,1.75167884483648,5.61154920158703
"b_expected_los",0,NA,NA,NA,NA
"b_clinical_situation",1.72679467360738,0.645634362909025,2.67457058175619,0.686918546593844,2.51382741399234
"b_age",-1.42878298852459,0.24362862087012,-5.86459416558565,0.263445849567237,-5.42344087360516
"b_frailty",-1.48831773912702,0.367925739844971,-4.0451579706115,0.33033855835635,-4.50543147773112
"b_life_expectancy",0,NA,NA,NA,NA
"b_suffering",-1.92249954555438,0.586252202677676,-3.27930460094387,0.569833727785841,-3.37379037394732
"b_disability_cardiovascular",-0.469808166445362,0.193760606029037,-2.42468361383509,0.179463755138346,-2.61784428885484
"b_disability_pulmonary",-1.17964736434212,0.293950906391,-4.01307612493976,0.186542919254069,-6.32373165949793
"b_disability_renal",-0.632405474431292,0.311601019915056,-2.02953595788515,0.220298597428111,-2.87067408423997
"b_disability_neurological",-1.42535695164962,0.419063328883153,-3.40129248590742,0.540465349851862,-2.63727721312809
"b_disability_gastrointestinal",-0.862430418212084,0.465861360575479,-1.85125981933063,0.469681189172354,-1.83620387210271
"b_family_values",-4.26975599065859,0.736026291762089,-5.80109167083766,0.811289282286995,-5.26292665745849
