"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",2.53961605982262,0.619381706859836,4.10024389111855,0.473550689281576,5.36292337294551
"asc_withdraw",0,NA,NA,NA,NA
"asc_timelimited",2.96273632535139,0.617252063122645,4.79988079806987,0.483187415134061,6.13165043739681
"b_expected_los",0,NA,NA,NA,NA
"b_clinical_situation",0,NA,NA,NA,NA
"b_age",-1.13367822403846,0.117179069673475,-9.6747501682469,0.132289327300931,-8.56968772287716
"b_frailty",-0.106414270825987,0.122484485195591,-0.868797959644093,0.0693085599700199,-1.53536981394531
"b_life_expectancy",0.512581313985023,0.144171139548109,3.55536701445005,0.128819910467682,3.97905348733818
"b_suffering",0,NA,NA,NA,NA
"b_disability_cardiovascular",-0.37951650475234,0.117022862934868,-3.24309707722303,0.0858457479264762,-4.42091208847504
"b_disability_pulmonary",-0.441882466262451,0.146877384093427,-3.00851263787061,0.132502554225191,-3.33489772213343
"b_disability_renal",-0.19770825529929,0.141446238276542,-1.3977625542275,0.117795354333117,-1.67840452128684
"b_disability_neurological",0,NA,NA,NA,NA
"b_disability_gastrointestinal",-0.367847504229612,0.207547849331469,-1.77235035397612,0.127848792063015,-2.87720750656999
"b_family_values",-1.69428523061593,0.208598266435476,-8.12224022551988,0.26171550501686,-6.473767117874
