"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",2.08383094141325,0.652621128567933,3.19301789383661,0.411822601510527,5.06002082879851
"asc_withdraw",0,NA,NA,NA,NA
"asc_timelimited",2.74307727882674,0.647670863844839,4.23529516603961,0.420844176285774,6.51803549483849
"b_expected_los",0,NA,NA,NA,NA
"b_clinical_situation",0,NA,NA,NA,NA
"b_age",-1.14277800316534,0.144297422201069,-7.9196009584492,0.178948123368522,-6.38608542885874
"b_frailty",-0.207108710890297,0.149689128712096,-1.38359219986269,0.078640462784236,-2.63361510802062
"b_life_expectancy",0.51497486564641,0.177027879211355,2.90900432146948,0.154022421798296,3.34350583268201
"b_suffering",0,NA,NA,NA,NA
"b_disability_cardiovascular",-0.292350445871885,0.134460216378959,-2.17425238293483,0.0859662220835386,-3.40075949351119
"b_disability_pulmonary",-0.319623223788792,0.173170818032136,-1.84571065391329,0.131836304799281,-2.42439458748039
"b_disability_renal",0,NA,NA,NA,NA
"b_disability_neurological",0,NA,NA,NA,NA
"b_disability_gastrointestinal",0,NA,NA,NA,NA
"b_family_values",-1.92268979377393,0.262155050103046,-7.33417034315447,0.307878909260822,-6.24495454524658
