"coefficient_name","coef","variable","max_util_contrib","importance_pct"
"b_expected_los",0,"expected_los",0,0
"b_clinical_situation",0,"clinical_situation",0,0
"b_age",-1.13367840337306,"age",3.40103521011919,37.2965767136831
"b_frailty",-0.106414346935629,"frailty",0.212828693871258,2.33393105846857
"b_life_expectancy",0.512580809130486,"life_expectancy",1.02516161826097,11.2421708618694
"b_suffering",0,"suffering",0,0
"b_disability_cardiovascular",-0.37951680997673,"disability_cardiovascular",1.13855042993019,12.4856200623692
"b_disability_pulmonary",-0.441882451919595,"disability_pulmonary",0.883764903839189,9.69158020911638
"b_disability_renal",-0.197708602231097,"disability_renal",0.395417204462193,4.33624093518793
"b_disability_neurological",0,"disability_neurological",0,0
"b_disability_gastrointestinal",-0.367848237899015,"disability_gastrointestinal",0.367848237899015,4.03391296360998
"b_family_values",-1.6942874709527,"family_values",1.6942874709527,18.5799671956954
