"Criterion","Level 1","Level 2","Level 3","Level 4"
"Expected additional ICU length of stay","A couple of weeks","A couple of months",NA,NA
"Clinical situation","Deterioration","No improvement",NA,NA
"Age (years)","40","55","70","85"
"Frailty at hospital admission","1 - 2","3 - 4","5 - 6",NA
"Life expectancy (pre-admission)","6 - 12 months","1 - 5 years","> 5 years",NA
"Burden of Suffering","Limited","Severe",NA,NA
"Cardiovascular impairment","NYHA I","NYHA II","NYHA III","NYHA IV"
"Pulmonary impairment","No disabilities","Moderate disabilities","Severe disabilities",NA
"Renal impairment","No disabilities (GFR > 30)","Pre-dialysis (GFR 15-30)","Dialysis dependent (GFR < 15)",NA
"Neurological impairment","mRS 0-1","mRS 2-3","mRS 4-5",NA
"Gastro-intestinal impairment","Without tube-feeding","Tube-feeding dependent",NA,NA
"Patient or Family Values","Expected future physical disabilities are possibly acceptable","Expected future physical disabilities are most likely unacceptable",NA,NA
