"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",4.84578405905759,1.25995150410315,3.84600839260625,1.63534347283508,2.96315981293936
"asc_withdraw",0,NA,NA,NA,NA
"b_expected_los",0.0970036489624942,0.258190966441699,0.37570504615001,0.202045487209596,0.480107971240484
"b_clinical_situation",0.801970430860821,0.424610806518759,1.88871884216962,0.446657840363494,1.79549166809245
"b_age",-1.24461035966547,0.167200458573477,-7.44382144812434,0.204860104260549,-6.07541602186499
"b_frailty",-0.489497758701196,0.224208995425214,-2.1832208728863,0.237254941312088,-2.0631720291857
"b_life_expectancy",0.386238824479921,0.199976747464257,1.9314186743084,0.186340268475008,2.07276091013963
"b_suffering",-0.36658335923799,0.38502179812877,-0.952110662356282,0.520628216610893,-0.704117348122849
"b_disability_cardiovascular",-0.38593327745154,0.152789950881082,-2.52590746463369,0.0932798892633132,-4.13736852069063
"b_disability_pulmonary",-0.457377228560102,0.220230387815868,-2.07681252844412,0.22736859701749,-2.01161125397154
"b_disability_renal",-0.33988378264155,0.213765765573992,-1.58998229547614,0.28478684179438,-1.19346729820808
"b_disability_neurological",-0.421903429935535,0.2424792263891,-1.73995701082664,0.394508517506178,-1.06944061082009
"b_disability_gastrointestinal",-0.37901225230788,0.318977055640663,-1.18821164596506,0.289935209451906,-1.3072308569365
"b_family_values",-2.53311008181364,0.431051361088305,-5.87658527609825,0.566182646964828,-4.47401575338462
