"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",7.28199150090487,1.19210518764606,6.10851422875187,1.33921346409477,5.43751365718762
"b_expected_los_continue",-0.0589028671938725,0.281167781258914,-0.209493658662234,0.258445840145933,-0.227911840873943
"b_clinical_situation_continue",1.24993843321628,0.390870808746188,3.1978300892455,0.3373281643657,3.70540786467274
"b_age_continue",-1.85380043653553,0.183228542479119,-10.1174217261854,0.216647210070187,-8.5567704099903
"b_frailty_continue",-1.08465581760767,0.246495647487043,-4.40030413788415,0.267734111560744,-4.0512425229819
"b_life_expectancy_continue",0.486534245234379,0.222316231903103,2.18847828190267,0.155805792282234,3.122696775952
"b_suffering_continue",-1.14193158826185,0.345685100958748,-3.30338676759493,0.427308898315631,-2.6723796128822
"b_disability_cardiovascular_continue",-0.849021444057895,0.169517370828113,-5.00846279003928,0.137502413190929,-6.1745930442616
"b_disability_pulmonary_continue",-1.3335098832989,0.262014613677403,-5.08944850282565,0.257691361186445,-5.17483347970705
"b_disability_renal_continue",-0.378759577415483,0.216726637899662,-1.74763739744275,0.241729641709371,-1.56687270430352
"b_disability_neurological_continue",-0.70040132274575,0.236902803791353,-2.95649233160876,0.288940381991874,-2.42403404438445
"b_disability_gastrointestinal_continue",-0.778467216696823,0.335223387163787,-2.32223420711537,0.263961899397607,-2.94916508205685
"b_family_values_continue",-3.27786353074478,0.382152675915444,-8.57736642270704,0.455600820292971,-7.19459532280247
"asc_timelimited",3.54707216289788,0.915724194574777,3.87351582923392,0.984646961493671,3.60237963616635
"b_expected_los_timelimited",-0.0756582430057587,0.180325353940885,-0.419565198971195,0.143110741008312,-0.528669214293039
"b_clinical_situation_timelimited",0.281564786621096,0.302635665647858,0.930375426896049,0.295949153866005,0.951395815608847
"b_age_timelimited",-0.970774344922923,0.117340355294082,-8.27314986809048,0.127529932493708,-7.61212937183058
"b_frailty_timelimited",-0.32035820821307,0.163363255208554,-1.96101753606765,0.168836882153504,-1.897442099895
"b_life_expectancy_timelimited",0.341426864807956,0.139959328651285,2.43947201017687,0.118854525982908,2.87264504220105
"b_suffering_timelimited",-0.39080069881959,0.282057043277374,-1.38553781277242,0.335060253740373,-1.16635946656451
"b_disability_cardiovascular_timelimited",-0.218196605544962,0.105499030896173,-2.0682332689833,0.0782858995794719,-2.7871763206024
"b_disability_pulmonary_timelimited",-0.396244911403719,0.155208188803889,-2.55298972597631,0.151189988871476,-2.62084093240167
"b_disability_renal_timelimited",-0.22400537088723,0.154628282205302,-1.44867011191274,0.15049695522778,-1.48843789263507
"b_disability_neurological_timelimited",-0.258587414594105,0.178435011618535,-1.44919661364959,0.23793903081833,-1.08678014575734
"b_disability_gastrointestinal_timelimited",-0.382955131926629,0.223599474186799,-1.71268350839994,0.200073052919613,-1.91407651524414
"b_family_values_timelimited",-1.93666734254571,0.30690810805963,-6.31025147817024,0.345665235058541,-5.6027252558902
"asc_withdraw",0,NA,NA,NA,NA
