"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",15.6729879200433,3.73616408000338,4.19494101020024,2.62690136972396,5.96634045749886
"b_expected_los_continue",-0.227828024997278,0.712690597845659,-0.319673117178707,0.546777861077929,-0.416673829017387
"b_clinical_situation_continue",2.9205563274927,0.971589899910432,3.00595583358981,0.652247193548836,4.47768324092303
"b_age_continue",-2.78670858305025,0.664957390169845,-4.19080774835582,0.398088317854839,-7.00022697994975
"b_frailty_continue",-3.08035529144767,0.880730255278266,-3.49750138931521,0.445277396709013,-6.91783439764555
"b_life_expectancy_continue",0.0493442180830082,0.557393215814629,0.0885267647380525,0.350186838518199,0.140908259978605
"b_suffering_continue",-3.2609325389598,0.949996322892991,-3.43257385358018,1.04143543942705,-3.13119029323011
"b_disability_cardiovascular_continue",-1.60227644362431,0.517392766086295,-3.09682807462574,0.392646938418001,-4.08070530252949
"b_disability_pulmonary_continue",-2.70536485793878,0.788688543334272,-3.43020686784866,0.383815331753475,-7.04861070968482
"b_disability_renal_continue",-0.344049006776522,0.631063612634283,-0.545189105960871,0.239994655829018,-1.43356945006991
"b_disability_neurological_continue",-2.28818979488732,0.702308658054458,-3.25809708971278,0.63489908646703,-3.6040212431557
"b_disability_gastrointestinal_continue",-0.787339154664292,0.821609571327227,-0.958288683750878,0.413792116350246,-1.90274082940204
"b_family_values_continue",-5.06444282347925,0.964112274404373,-5.25295959602636,0.890385890508205,-5.68791899946732
"asc_timelimited",7.66310690949953,2.23696804324704,3.42566668872759,2.05768869220347,3.72413326589919
"b_expected_los_timelimited",0.207780051515777,0.356058202617182,0.583556424170273,0.170981737320924,1.21521780496232
"b_clinical_situation_timelimited",1.41096155334464,0.699788510186861,2.0162685337144,0.8033307767772,1.75638926595734
"b_age_timelimited",-1.17524548611707,0.255239527205167,-4.60448073613763,0.254081425200628,-4.62546793882736
"b_frailty_timelimited",-1.24705699084848,0.397742112279098,-3.13534059469523,0.407644074105653,-3.05918096217749
"b_life_expectancy_timelimited",0.25186061505136,0.268644150738166,0.93752502840397,0.205228203278601,1.2272222385997
"b_suffering_timelimited",-1.62543703418115,0.624936771626412,-2.60096238208372,0.635927153798037,-2.55601136776959
"b_disability_cardiovascular_timelimited",-0.220258964686078,0.21426801349145,-1.02796008184799,0.171838005547171,-1.28178259509428
"b_disability_pulmonary_timelimited",-0.831647230847609,0.336996107309039,-2.46782444310241,0.26229364732622,-3.17067240981735
"b_disability_renal_timelimited",-0.416766598093343,0.339088395151399,-1.22907950862565,0.268459263102655,-1.55243888132844
"b_disability_neurological_timelimited",-1.18191691736232,0.444703842683875,-2.65776187187684,0.604123773744234,-1.95641517306469
"b_disability_gastrointestinal_timelimited",-0.763305170357093,0.495446220260821,-1.54064182779568,0.57545422957186,-1.32643941278352
"b_family_values_timelimited",-3.78493711396293,0.80616189566773,-4.6950087002412,0.994556228551621,-3.80565422577963
"asc_withdraw",0,NA,NA,NA,NA
