"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",5.83153054469003,1.19692973615835,4.87207424840729,1.03150406608928,5.65342467994235
"asc_withdraw",0,NA,NA,NA,NA
"b_expected_los",-0.257172078935509,0.235465090019156,-1.09218771629623,0.186852733249653,-1.37633565462434
"b_clinical_situation",0.42516857383022,0.384378071257047,1.10612078477779,0.336678705210308,1.26283179556793
"b_age",-1.15765077701738,0.156254506145836,-7.40875130946247,0.152612486339962,-7.58555741263906
"b_frailty",-0.519045840341693,0.212269418210043,-2.44522194821343,0.206615663885604,-2.51213209386231
"b_life_expectancy",0.360222887812319,0.179105773221381,2.01122990807823,0.138179893371694,2.60691247490939
"b_suffering",-0.831423400026527,0.36940286681973,-2.2507226518961,0.371148698239033,-2.24013556822732
"b_disability_cardiovascular",-0.383242834266345,0.136859453488592,-2.8002657068793,0.114688781367149,-3.34158955826274
"b_disability_pulmonary",-0.75517370292969,0.202384583113993,-3.73137959082752,0.175330091283523,-4.30715399393999
"b_disability_renal",-0.357604167027027,0.205336067750212,-1.74155554328647,0.138137822901484,-2.58874911675754
"b_disability_neurological",-0.496962060773251,0.232343283263995,-2.13891296443714,0.256223189692175,-1.93956706795469
"b_disability_gastrointestinal",-0.617361861075721,0.29180999247198,-2.11562961174128,0.235413113111043,-2.62246165014824
"b_family_values",-2.37345223474641,0.391035345585277,-6.0696616342801,0.353547921541753,-6.71324052591302
"d_asc_continue",-0.985630725634935,1.73785368958671,-0.567154031171251,1.91128114499834,-0.515691125931025
"d_expected_los",0.354168486935666,0.349437462454315,1.0135389733205,0.27282247976748,1.29816460592806
"d_clinical_situation",0.376812740080824,0.572748937996516,0.657902119205878,0.553612375875596,0.680643635332131
"d_age",-0.0869737777833712,0.228849208931274,-0.380048409122928,0.252823089771551,-0.34401042191977
"d_frailty",0.0295423835186489,0.308752616741082,0.0956830223188779,0.311741905324023,0.0947655192135389
"d_life_expectancy",0.0259985477131434,0.268457734174589,0.0968441002196474,0.229581033801024,0.113243447347119
"d_suffering",0.464833195394111,0.533573524556044,0.871169902556302,0.632575308234904,0.734826651219048
"d_disability_cardiovascular",-0.00270922795816943,0.205123423723726,-0.013207794161131,0.146891200986195,-0.018443772942016
"d_disability_pulmonary",0.297788561993829,0.299100217107977,0.995614663450163,0.28422856153306,1.04770808530863
"d_disability_renal",0.0177088438998169,0.296409882551343,0.0597444449132006,0.312403952193115,0.0566857230054185
"d_disability_neurological",0.0750519548692598,0.335827032416101,0.223483959374265,0.46510024266868,0.16136726663186
"d_disability_gastrointestinal",0.238339866498638,0.432318543790008,0.551306137389303,0.369860308979498,0.644405092171838
"d_family_values",-0.159673791662695,0.581991928873206,-0.274357398687366,0.659792751067211,-0.24200598052104
