"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",4.47153937243543,0.968041095776076,4.61916275243522,1.06804483931213,4.18665884413177
"asc_withdraw",0,NA,NA,NA,NA
"b_expected_los",-0.200525632096217,0.204018290326089,-0.982880661217725,0.174929572506796,-1.14632208392567
"b_clinical_situation",0.322327357850055,0.320929150786174,1.00435674684103,0.298323481908888,1.08046257635361
"b_age",-1.18567971511988,0.13041039247634,-9.09191125496381,0.145775191662971,-8.13361794688045
"b_frailty",-0.261935668640575,0.17430392760969,-1.50275253250239,0.17283157186565,-1.51555451248334
"b_life_expectancy",0.449649540481651,0.158956577442547,2.82875705878966,0.141868309867593,3.16948542561277
"b_suffering",-0.298664492407138,0.299940084030723,-0.995747178548318,0.350048383806526,-0.853209173998676
"b_disability_cardiovascular",-0.419898598467932,0.120767508352933,-3.47691696379802,0.0915024830728243,-4.58893118926343
"b_disability_pulmonary",-0.503751287225449,0.170741068976891,-2.95038147672386,0.167371274382612,-3.00978342361109
"b_disability_renal",-0.324148346160982,0.168522581327521,-1.92347128561368,0.182564628494217,-1.77552655645586
"b_disability_neurological",-0.226299126814508,0.18603895718567,-1.21640719899681,0.252139685344396,-0.897514909267091
"b_disability_gastrointestinal",-0.483288402233141,0.246182440396002,-1.96313108869884,0.214521079284437,-2.25287139075196
"b_family_values",-2.01359596194348,0.31680557447629,-6.35593601934609,0.32811915254455,-6.13678277030808
"d_asc_continue",4.8605689410987,2.35173975154345,2.0667971181372,1.99758283288817,2.43322522654599
"d_expected_los",0.369539379174919,0.403193818859695,0.916530368000293,0.24847756933529,1.48721423894916
"d_clinical_situation",1.30942097192878,0.738246969186877,1.77368960061023,0.718068595607617,1.82353187416694
"d_age",-0.167443433321685,0.28101698179127,-0.59584809520891,0.270721113924286,-0.618508955191856
"d_frailty",-1.15830760558238,0.417850589215131,-2.77206167821394,0.360100087294613,-3.21662683917852
"d_life_expectancy",-0.234560496482231,0.304728714448714,-0.76973545767282,0.23941234525597,-0.979734341733499
"d_suffering",-1.49687099192538,0.676684035949873,-2.21206783727976,0.639030377120061,-2.34240975940983
"d_disability_cardiovascular",0.0297675256540964,0.239914571056236,0.124075522062055,0.180427762271763,0.164983067346699
"d_disability_pulmonary",-0.564611356553004,0.366391558771845,-1.54100536171083,0.266024521473634,-2.12240342892211
"d_disability_renal",-0.222201614031602,0.367632379520684,-0.604412522970111,0.300296873122946,-0.739939819288857
"d_disability_neurological",-1.15309450675197,0.465253156602142,-2.47842382236223,0.579601106227521,-1.98946222559369
"d_disability_gastrointestinal",-0.344711893861141,0.538321018954374,-0.640346339310146,0.521037605838885,-0.661587359526853
"d_family_values",-2.11411671096417,0.82322598593332,-2.56808792128607,0.881003185816008,-2.39966976851057
