"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",7.72961202122682,1.44486029789873,5.34972968145643,1.31197968848193,5.89156378645664
"asc_timelimited",3.83803891343407,1.25386832538562,3.0609585039591,1.16490419085239,3.294724959849
"asc_withdraw",0,NA,NA,NA,NA
"b_expected_los_continue",-0.220182977512519,0.32042129740983,-0.687167111838066,0.291484424462818,-0.755385053312192
"b_clinical_situation_continue",1.07235355177088,0.468593536215852,2.28845143795775,0.371017938934598,2.89030108584563
"b_age_continue",-1.80020995222294,0.210774437111123,-8.54093113423356,0.223349421573107,-8.06006095535686
"b_frailty_continue",-1.08838182360638,0.284703204686828,-3.82286467341874,0.286390105609791,-3.80034715685782
"b_life_expectancy_continue",0.483755811286018,0.249206754479099,1.94118258269998,0.174895380126831,2.76597249701626
"b_suffering_continue",-1.32890035426114,0.430429191970916,-3.0873843574042,0.438054564971045,-3.0336411500448
"b_disability_cardiovascular_continue",-0.824820615797771,0.190727384175944,-4.32460508679176,0.165604843733158,-4.98065513788243
"b_disability_pulmonary_continue",-1.44006122016424,0.293147777935919,-4.91240708117881,0.280369587053445,-5.1362961129223
"b_disability_renal_continue",-0.380827331005333,0.258327123360116,-1.47420575142026,0.232339286441244,-1.63910002840454
"b_disability_neurological_continue",-0.733253539672791,0.286366825109748,-2.56053940393331,0.305119248413068,-2.4031703784224
"b_disability_gastrointestinal_continue",-0.880651797368603,0.386716834743779,-2.27725228965551,0.299688420121442,-2.93855797635337
"b_family_values_continue",-3.20752286906334,0.464905068777955,-6.89930715854444,0.502434383580772,-6.38396370527793
"b_expected_los_timelimited",-0.249357306211286,0.242625109915942,-1.02774731888911,0.19150894116351,-1.30206613172377
"b_clinical_situation_timelimited",0.0936067911810552,0.406272557190587,0.230403923485147,0.384072447435037,0.243721703564503
"b_age_timelimited",-0.910921533474686,0.160412424622709,-5.67862206195797,0.161512148239513,-5.63995676736242
"b_frailty_timelimited",-0.322821137144166,0.222503471601746,-1.45085887793237,0.219686350048607,-1.4694637926878
"b_life_expectancy_timelimited",0.33600672128383,0.186272685778236,1.80384321984736,0.146988410484593,2.28594023281209
"b_suffering_timelimited",-0.587710713537382,0.386837907215175,-1.51926867190519,0.410854082254471,-1.43046093229121
"b_disability_cardiovascular_timelimited",-0.195600701839202,0.141058148749501,-1.38666715516422,0.126526041367805,-1.54593236083788
"b_disability_pulmonary_timelimited",-0.507350513297251,0.209994296594688,-2.41602044210035,0.190085473925047,-2.66906514643674
"b_disability_renal_timelimited",-0.224232034591576,0.212394262403022,-1.05573489629438,0.144331152539818,-1.55359415237618
"b_disability_neurological_timelimited",-0.287914968032722,0.244452929284454,-1.17779307810091,0.279570836281317,-1.02984621665977
"b_disability_gastrointestinal_timelimited",-0.488939912456796,0.301202129458013,-1.62329500570464,0.255035168144867,-1.91714701942229
"b_family_values_timelimited",-1.8441311268997,0.412954895151433,-4.46569625049111,0.40978417735577,-4.50024971388451
"d_asc_continue",-0.908536163847914,1.76329161073743,-0.51525009154212,2.02868659287404,-0.447844515283552
"d_asc_timelimited",-0.54678181685322,1.77998469342604,-0.307183437516419,2.13766440099704,-0.255784685658886
"d_expected_los",0.349113303812142,0.349000333850734,1.00032369585485,0.270266823991051,1.2917356953279
"d_clinical_situation",0.435993819044751,0.58645012515233,0.743445691876188,0.609067467275846,0.715838297840475
"d_age",-0.139047640523715,0.232225308304232,-0.598761786728052,0.264841139232896,-0.525022815286409
"d_frailty",-0.0146768691384995,0.313523760030771,-0.0468126215922489,0.334512982262528,-0.0438753349398589
"d_life_expectancy",0.0270129840601465,0.26710262483761,0.101133353056974,0.227667386455152,0.118651092195271
"d_suffering",0.417792798623138,0.545763527415006,0.765519822480631,0.683186305542995,0.611535675164152
"d_disability_cardiovascular",-0.0463591615786677,0.205705748037348,-0.225366388742092,0.156785922490388,-0.295684464793131
"d_disability_pulmonary",0.239828004293124,0.301356465590128,0.795828301952915,0.294722129713035,0.813742777057967
"d_disability_renal",-0.00430505362476114,0.299704541544353,-0.0143643256207515,0.327545211754305,-0.013143387447808
"d_disability_neurological",0.0411799380657739,0.342610922359201,0.12019446952307,0.490083304100869,0.0840264047381183
"d_disability_gastrointestinal",0.215043369785962,0.433972197859887,0.495523378793477,0.385744215101053,0.557476590360863
"d_family_values",-0.26026680544411,0.595871935686606,-0.436783123783488,0.730766488735084,-0.356155912259492
