"coefficient_name","coef","variable","max_util_contrib","importance_pct"
"b_expected_los",-0.200525415967312,"expected_los",0.200525415967312,1.71878580366672
"b_clinical_situation",0.322326607074779,"clinical_situation",0.322326607074779,2.76279390176905
"b_age",-1.18567895401954,"age",3.55703686205861,30.4888257288153
"b_frailty",-0.261934928572849,"frailty",0.523869857145698,4.49030398010853
"b_life_expectancy",0.449650163458813,"life_expectancy",0.899300326917626,7.70827292731224
"b_suffering",-0.298663678165991,"suffering",0.298663678165991,2.55996920702696
"b_disability_cardiovascular",-0.419897772097033,"disability_cardiovascular",1.2596933162911,10.7973494460569
"b_disability_pulmonary",-0.503750519467254,"disability_pulmonary",1.00750103893451,8.635705726113
"b_disability_renal",-0.324147816647799,"disability_renal",0.648295633295598,5.55680847593525
"b_disability_neurological",-0.22629827082515,"disability_neurological",0.452596541650299,3.8793910827942
"b_disability_gastrointestinal",-0.483286717323055,"disability_gastrointestinal",0.483286717323055,4.14244919941205
"b_family_values",-2.01359426637766,"family_values",2.01359426637766,17.2593445209898
