"coefficient_name","coef","variable","alternative","sd_x","sd_y","std_coef","importance_pct"
"b_expected_los_continue",-0.227828024997278,"expected_los","continue",0.50060204717775,0.904251448840931,-0.126127722398777,0.43263665242246
"b_clinical_situation_continue",2.9205563274927,"clinical_situation","continue",0.50060204717775,0.904251448840931,1.61684725892871,5.54602408001726
"b_age_continue",-2.78670858305025,"age","continue",1.10202442410561,0.904251448840931,-3.39620237857793,11.6494740416513
"b_frailty_continue",-3.08035529144767,"frailty","continue",0.825302670534858,0.904251448840931,-2.81141429354254,9.64356483569304
"b_life_expectancy_continue",0.0493442180830082,"life_expectancy","continue",0.766780155734951,0.904251448840931,0.0418425287289357,0.143526032294014
"b_suffering_continue",-3.2609325389598,"suffering","continue",0.50060204717775,0.904251448840931,-1.80528270848143,6.19238540758055
"b_disability_cardiovascular_continue",-1.60227644362431,"disability_cardiovascular","continue",1.10202442410561,0.904251448840931,-1.95271766200253,6.69810899893946
"b_disability_pulmonary_continue",-2.70536485793878,"disability_pulmonary","continue",0.817479719852106,0.904251448840931,-2.44575876433522,8.38931255009438
"b_disability_renal_continue",-0.344049006776522,"disability_renal","continue",0.73468294940374,0.904251448840931,-0.279531693714175,0.958834853388693
"b_disability_neurological_continue",-2.28818979488732,"disability_neurological","continue",0.801604816056202,0.904251448840931,-2.02844459025577,6.9578635090077
"b_disability_gastrointestinal_continue",-0.787339154664292,"disability_gastrointestinal","continue",0.50060204717775,0.904251448840931,-0.435878309239489,1.49512675711936
"b_family_values_continue",-5.06444282347925,"family_values","continue",0.490880693673816,0.904251448840931,-2.74927644235182,9.43042286010988
"b_expected_los_timelimited",0.207780051515777,"expected_los","timelimited",0.50060204717775,0.904251448840931,0.115028977044851,0.394566322246906
"b_clinical_situation_timelimited",1.41096155334464,"clinical_situation","timelimited",0.50060204717775,0.904251448840931,0.781121493362051,2.67936169460765
"b_age_timelimited",-1.17524548611707,"age","timelimited",1.10202442410561,0.904251448840931,-1.43228880825239,4.91296142925101
"b_frailty_timelimited",-1.24705699084848,"frailty","timelimited",0.825302670534858,0.904251448840931,-1.13817839736463,3.90411943013227
"b_life_expectancy_timelimited",0.25186061505136,"life_expectancy","timelimited",0.766780155734951,0.904251448840931,0.213570818028686,0.732579341081901
"b_suffering_timelimited",-1.62543703418115,"suffering","timelimited",0.50060204717775,0.904251448840931,-0.899857122609655,3.08664237948788
"b_disability_cardiovascular_timelimited",-0.220258964686078,"disability_cardiovascular","timelimited",1.10202442410561,0.904251448840931,-0.268432811496631,0.920764053750785
"b_disability_pulmonary_timelimited",-0.831647230847609,"disability_pulmonary","timelimited",0.817479719852106,0.904251448840931,-0.751842583343958,2.57893072371644
"b_disability_renal_timelimited",-0.416766598093343,"disability_renal","timelimited",0.73468294940374,0.904251448840931,-0.338613019523116,1.16149249702588
"b_disability_neurological_timelimited",-1.18191691736232,"disability_neurological","timelimited",0.801604816056202,0.904251448840931,-1.04775092630524,3.5939398944829
"b_disability_gastrointestinal_timelimited",-0.763305170357093,"disability_gastrointestinal","timelimited",0.50060204717775,0.904251448840931,-0.4225728710658,1.44948714577144
"b_family_values_timelimited",-3.78493711396293,"family_values","timelimited",0.490880693673816,0.904251448840931,-2.05468573856908,7.04787451012687
