"coefficient_name","coef","variable","alternative","sd_x","sd_y","std_coef","importance_pct"
"b_expected_los_continue",-0.101487105723802,"expected_los","continue",0.499984591442083,0.875284542027825,-0.0579719927126755,0.457137780193054
"b_clinical_situation_continue",0.824467265594568,"clinical_situation","continue",0.499984591442083,0.875284542027825,0.470956482323627,3.71372434899722
"b_age_continue",-1.76185124625004,"age","continue",1.10066515818701,0.875284542027825,-2.21551756890748,17.4704497126529
"b_frailty_continue",-0.698755358374397,"frailty","continue",0.824284720507574,0.875284542027825,-0.658041285576022,5.18898037634358
"b_life_expectancy_continue",0.63813279723495,"life_expectancy","continue",0.76583438891713,0.875284542027825,0.558337337577328,4.40276552789934
"b_suffering_continue",-0.716253318894746,"suffering","continue",0.499984591442083,0.875284542027825,-0.40914194849935,3.22628623528338
"b_disability_cardiovascular_continue",-0.771409244891989,"disability_cardiovascular","continue",1.10066515818701,0.875284542027825,-0.970042583625307,7.64926462971574
"b_disability_pulmonary_continue",-1.0666254389306,"disability_pulmonary","continue",0.816471418858014,0.875284542027825,-0.994955518688955,7.8457154208682
"b_disability_renal_continue",-0.312035709425928,"disability_renal","continue",0.733776772124675,0.875284542027825,-0.261588711620263,2.06275612339787
"b_disability_neurological_continue",-0.369627283347071,"disability_neurological","continue",0.800616095586116,0.875284542027825,-0.33809525726324,2.66604800295787
"b_disability_gastrointestinal_continue",-0.773189820621984,"disability_gastrointestinal","continue",0.499984591442083,0.875284542027825,-0.441665513337228,3.48275059916408
"b_family_values_continue",-2.87570729176609,"family_values","continue",0.490275228511327,0.875284542027825,-1.61077681817153,12.7017703651295
"b_expected_los_timelimited",-0.222390995862518,"expected_los","timelimited",0.499984591442083,0.875284542027825,-0.127035342071863,1.00173638274986
"b_clinical_situation_timelimited",0.022774664316904,"clinical_situation","timelimited",0.499984591442083,0.875284542027825,0.0130094622799312,0.102586032148808
"b_age_timelimited",-0.955813747397162,"age","timelimited",1.10066515818701,0.875284542027825,-1.20193015980713,9.47781263832906
"b_frailty_timelimited",-0.0905740039565982,"frailty","timelimited",0.824284720507574,0.875284542027825,-0.0852965680893324,0.672605545710652
"b_life_expectancy_timelimited",0.408947856072155,"life_expectancy","timelimited",0.76583438891713,0.875284542027825,0.357810879109565,2.82151541375785
"b_suffering_timelimited",-0.0598840790435361,"suffering","timelimited",0.499984591442083,0.875284542027825,-0.0342072952929129,0.269741409685774
"b_disability_cardiovascular_timelimited",-0.263242246152764,"disability_cardiovascular","timelimited",1.10066515818701,0.875284542027825,-0.331025574645674,2.61030006559645
"b_disability_pulmonary_timelimited",-0.291342810769901,"disability_pulmonary","timelimited",0.816471418858014,0.875284542027825,-0.271766570368406,2.14301356388822
"b_disability_renal_timelimited",-0.22261918252248,"disability_renal","timelimited",0.733776772124675,0.875284542027825,-0.186628207538008,1.47165554474168
"b_disability_neurological_timelimited",-0.0460614789679471,"disability_neurological","timelimited",0.800616095586116,0.875284542027825,-0.0421320835425738,0.332232277075914
"b_disability_gastrointestinal_timelimited",-0.349231754345816,"disability_gastrointestinal","timelimited",0.499984591442083,0.875284542027825,-0.199489980264776,1.57307697185742
"b_family_values_timelimited",-1.5069492640331,"family_values","timelimited",0.490275228511327,0.875284542027825,-0.844091103296687,6.65607503185559
